------------------  ------------------  ------------------  ------------------ 
March 2022          May 2022            July 2022           August 2022  
0.9944810550714024  0.99517766032299    0.9953925264731875  0.9955262503838449 
44284.73926765112   51229.115429637764  49377.0692744143    45655.18115310262   
-----------------  ------------------  ------------------  ------------------  
September 2022     November 2022       January 2023        March 2023       
0.995594151692205  0.9958080333421917  0.9789909055347973  0.9771227252974936  
37234.65062945633  33423.02554192131   15167.328689484646  13044.61016994187   
-----------------  ------------------  ------------------  ------------------  
May 2023            July 2023           August 2023         September 2023    
0.9764824571188219  0.9769572632688702  0.9760998058672721  0.9722283266946459  
12400.358499804792  11937.805059756201  11156.084402112618  8589.759996963387  
-----------------  ------------------  ------------------  ------------------  
November 2023       January 2024        March 2024          July 2024          
0.9949863965544491  0.9564467967721413  0.9546363608443889  0.953700427387861
18911.32007535969   2919.6589313074564  2768.04152834525    2565.55171092952   
 ------------------  ------------------  ------------------  ----------------- 
August 2024         November 2024
0.9523763803346076  0.9561457276291325
2481.6039804647594  1681.0116987997958
------------------  ------------------  
-----------------  -------------------
